action_idx,type,vwl,vbsl_bin,vbsl_range
0,SET,0,0,0-7
1,SET,0,1,8-15
2,SET,0,2,16-23
3,SET,0,3,24-31
4,SET,2,0,0-7
5,SET,2,1,8-15
6,SET,2,2,16-23
7,SET,2,3,24-31
8,SET,4,0,0-7
9,SET,4,1,8-15
10,SET,4,2,16-23
11,SET,4,3,24-31
12,SET,6,0,0-7
13,SET,6,1,8-15
14,SET,6,2,16-23
15,SET,6,3,24-31
16,SET,8,0,0-7
17,SET,8,1,8-15
18,SET,8,2,16-23
19,SET,8,3,24-31
20,SET,10,0,0-7
21,SET,10,1,8-15
22,SET,10,2,16-23
23,SET,10,3,24-31
24,SET,12,0,0-7
25,SET,12,1,8-15
26,SET,12,2,16-23
27,SET,12,3,24-31
28,SET,14,0,0-7
29,SET,14,1,8-15
30,SET,14,2,16-23
31,SET,14,3,24-31
32,SET,16,0,0-7
33,SET,16,1,8-15
34,SET,16,2,16-23
35,SET,16,3,24-31
36,SET,18,0,0-7
37,SET,18,1,8-15
38,SET,18,2,16-23
39,SET,18,3,24-31
40,SET,20,0,0-7
41,SET,20,1,8-15
42,SET,20,2,16-23
43,SET,20,3,24-31
44,SET,22,0,0-7
45,SET,22,1,8-15
46,SET,22,2,16-23
47,SET,22,3,24-31
48,SET,24,0,0-7
49,SET,24,1,8-15
50,SET,24,2,16-23
51,SET,24,3,24-31
52,SET,26,0,0-7
53,SET,26,1,8-15
54,SET,26,2,16-23
55,SET,26,3,24-31
56,SET,28,0,0-7
57,SET,28,1,8-15
58,SET,28,2,16-23
59,SET,28,3,24-31
60,SET,30,0,0-7
61,SET,30,1,8-15
62,SET,30,2,16-23
63,SET,30,3,24-31
64,SET,32,0,0-7
65,SET,32,1,8-15
66,SET,32,2,16-23
67,SET,32,3,24-31
68,SET,34,0,0-7
69,SET,34,1,8-15
70,SET,34,2,16-23
71,SET,34,3,24-31
72,SET,36,0,0-7
73,SET,36,1,8-15
74,SET,36,2,16-23
75,SET,36,3,24-31
76,SET,38,0,0-7
77,SET,38,1,8-15
78,SET,38,2,16-23
79,SET,38,3,24-31
80,SET,40,0,0-7
81,SET,40,1,8-15
82,SET,40,2,16-23
83,SET,40,3,24-31
84,SET,42,0,0-7
85,SET,42,1,8-15
86,SET,42,2,16-23
87,SET,42,3,24-31
88,SET,44,0,0-7
89,SET,44,1,8-15
90,SET,44,2,16-23
91,SET,44,3,24-31
92,SET,46,0,0-7
93,SET,46,1,8-15
94,SET,46,2,16-23
95,SET,46,3,24-31
96,SET,48,0,0-7
97,SET,48,1,8-15
98,SET,48,2,16-23
99,SET,48,3,24-31
100,SET,50,0,0-7
101,SET,50,1,8-15
102,SET,50,2,16-23
103,SET,50,3,24-31
104,SET,52,0,0-7
105,SET,52,1,8-15
106,SET,52,2,16-23
107,SET,52,3,24-31
108,SET,54,0,0-7
109,SET,54,1,8-15
110,SET,54,2,16-23
111,SET,54,3,24-31
112,SET,56,0,0-7
113,SET,56,1,8-15
114,SET,56,2,16-23
115,SET,56,3,24-31
116,SET,58,0,0-7
117,SET,58,1,8-15
118,SET,58,2,16-23
119,SET,58,3,24-31
120,SET,60,0,0-7
121,SET,60,1,8-15
122,SET,60,2,16-23
123,SET,60,3,24-31
124,SET,62,0,0-7
125,SET,62,1,8-15
126,SET,62,2,16-23
127,SET,62,3,24-31
128,SET,64,0,0-7
129,SET,64,1,8-15
130,SET,64,2,16-23
131,SET,64,3,24-31
132,SET,66,0,0-7
133,SET,66,1,8-15
134,SET,66,2,16-23
135,SET,66,3,24-31
136,SET,68,0,0-7
137,SET,68,1,8-15
138,SET,68,2,16-23
139,SET,68,3,24-31
140,SET,70,0,0-7
141,SET,70,1,8-15
142,SET,70,2,16-23
143,SET,70,3,24-31
144,SET,72,0,0-7
145,SET,72,1,8-15
146,SET,72,2,16-23
147,SET,72,3,24-31
148,SET,74,0,0-7
149,SET,74,1,8-15
150,SET,74,2,16-23
151,SET,74,3,24-31
152,SET,76,0,0-7
153,SET,76,1,8-15
154,SET,76,2,16-23
155,SET,76,3,24-31
156,SET,78,0,0-7
157,SET,78,1,8-15
158,SET,78,2,16-23
159,SET,78,3,24-31
160,SET,80,0,0-7
161,SET,80,1,8-15
162,SET,80,2,16-23
163,SET,80,3,24-31
164,SET,82,0,0-7
165,SET,82,1,8-15
166,SET,82,2,16-23
167,SET,82,3,24-31
168,SET,84,0,0-7
169,SET,84,1,8-15
170,SET,84,2,16-23
171,SET,84,3,24-31
172,SET,86,0,0-7
173,SET,86,1,8-15
174,SET,86,2,16-23
175,SET,86,3,24-31
176,SET,88,0,0-7
177,SET,88,1,8-15
178,SET,88,2,16-23
179,SET,88,3,24-31
180,SET,90,0,0-7
181,SET,90,1,8-15
182,SET,90,2,16-23
183,SET,90,3,24-31
184,SET,92,0,0-7
185,SET,92,1,8-15
186,SET,92,2,16-23
187,SET,92,3,24-31
188,SET,94,0,0-7
189,SET,94,1,8-15
190,SET,94,2,16-23
191,SET,94,3,24-31
192,SET,96,0,0-7
193,SET,96,1,8-15
194,SET,96,2,16-23
195,SET,96,3,24-31
196,SET,98,0,0-7
197,SET,98,1,8-15
198,SET,98,2,16-23
199,SET,98,3,24-31
200,SET,100,0,0-7
201,SET,100,1,8-15
202,SET,100,2,16-23
203,SET,100,3,24-31
204,SET,102,0,0-7
205,SET,102,1,8-15
206,SET,102,2,16-23
207,SET,102,3,24-31
208,SET,104,0,0-7
209,SET,104,1,8-15
210,SET,104,2,16-23
211,SET,104,3,24-31
212,SET,106,0,0-7
213,SET,106,1,8-15
214,SET,106,2,16-23
215,SET,106,3,24-31
216,SET,108,0,0-7
217,SET,108,1,8-15
218,SET,108,2,16-23
219,SET,108,3,24-31
220,SET,110,0,0-7
221,SET,110,1,8-15
222,SET,110,2,16-23
223,SET,110,3,24-31
224,SET,112,0,0-7
225,SET,112,1,8-15
226,SET,112,2,16-23
227,SET,112,3,24-31
228,SET,114,0,0-7
229,SET,114,1,8-15
230,SET,114,2,16-23
231,SET,114,3,24-31
232,SET,116,0,0-7
233,SET,116,1,8-15
234,SET,116,2,16-23
235,SET,116,3,24-31
236,SET,118,0,0-7
237,SET,118,1,8-15
238,SET,118,2,16-23
239,SET,118,3,24-31
240,SET,120,0,0-7
241,SET,120,1,8-15
242,SET,120,2,16-23
243,SET,120,3,24-31
244,SET,122,0,0-7
245,SET,122,1,8-15
246,SET,122,2,16-23
247,SET,122,3,24-31
