pw_bins,n_levels,bin_type,target_bin,mean_pulses,p90_pulses,p99_pulses,timeout_rate,write_ber_at_10,read_ber_at_10,write_ber_at_20,read_ber_at_20,write_ber_at_50,read_ber_at_50,write_ber_at_100,read_ber_at_100,write_ber_at_200,read_ber_at_200
1,4,pba,1,3.107,6.0,12.0,0.0,0.0195,0.0255,0.0,0.0055,0.0,0.009,0.0,0.008,0.0,0.01
1,4,pba,2,2.0105,4.0,9.0,0.0,0.0015,0.0305,0.0,0.024,0.0,0.028,0.0,0.026,0.0,0.0225
1,4,pba,3,1.847,4.0,6.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,pba,1,1.7435,3.0,5.009999999999991,0.0,0.0,0.0115,0.0,0.0135,0.0,0.0095,0.0,0.0145,0.0,0.0145
1,8,pba,2,1.9885,4.0,8.0,0.0,0.004,0.0205,0.0,0.0195,0.0,0.0115,0.0,0.0165,0.0,0.019
1,8,pba,3,1.685,3.0,7.0,0.0,0.001,0.138,0.0,0.137,0.0,0.151,0.0,0.1365,0.0,0.143
1,8,pba,4,1.887,3.0,8.0,0.0,0.002,0.0785,0.0,0.065,0.0,0.088,0.0,0.0795,0.0,0.0745
1,8,pba,5,2.435,5.0,10.0,0.0,0.007,0.181,0.0,0.178,0.0,0.1905,0.0,0.1845,0.0,0.1895
1,8,pba,6,1.915,4.0,7.0,0.0,0.0005,0.1125,0.0,0.1005,0.0,0.102,0.0,0.107,0.0,0.1035
1,8,pba,7,2.257,4.0,7.009999999999991,0.0,0.002,0.0125,0.0,0.012,0.0,0.016,0.0,0.008,0.0,0.0125
2,4,pba,1,1.817,4.0,6.0,0.0,0.0005,0.006,0.0,0.0075,0.0,0.0075,0.0,0.009,0.0,0.0095
2,4,pba,2,1.186,2.0,4.0,0.0,0.0,0.0115,0.0,0.0165,0.0,0.009,0.0,0.0135,0.0,0.0135
2,4,pba,3,1.284,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,pba,1,1.2745,2.0,4.0,0.0,0.0,0.014,0.0,0.019,0.0,0.0185,0.0,0.019,0.0,0.0175
2,8,pba,2,1.5035,2.0,2.0,0.0,0.0,0.0155,0.0,0.012,0.0,0.0165,0.0,0.016,0.0,0.0145
2,8,pba,3,1.0,1.0,1.0,0.0,0.0,0.1365,0.0,0.1315,0.0,0.1275,0.0,0.139,0.0,0.148
2,8,pba,4,1.2695,2.0,4.0,0.0,0.0,0.0915,0.0,0.1035,0.0,0.1035,0.0,0.0905,0.0,0.103
2,8,pba,5,1.0,1.0,1.0,0.0,0.0,0.495,0.0,0.497,0.0,0.4985,0.0,0.475,0.0,0.499
2,8,pba,6,1.431,2.0,3.0,0.0,0.0,0.1975,0.0,0.1995,0.0,0.2,0.0,0.198,0.0,0.2015
2,8,pba,7,1.718,3.0,5.0,0.0,0.0,0.012,0.0,0.01,0.0,0.0095,0.0,0.0105,0.0,0.0095
4,4,pba,1,1.0,1.0,1.0,0.0,0.0,0.0045,0.0,0.009,0.0,0.009,0.0,0.0115,0.0,0.0065
4,4,pba,2,1.0,1.0,1.0,0.0,0.0,0.061,0.0,0.0635,0.0,0.0565,0.0,0.0475,0.0,0.048
4,4,pba,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8,pba,1,1.1415,2.0,2.0,0.0,0.0,0.0145,0.0,0.0115,0.0,0.013,0.0,0.018,0.0,0.0155
4,8,pba,2,1.0,1.0,1.0,0.0,0.0,0.012,0.0,0.0095,0.0,0.011,0.0,0.011,0.0,0.015
4,8,pba,3,1.0,1.0,1.0,0.0,0.0,0.2275,0.0,0.225,0.0,0.2275,0.0,0.2225,0.0,0.2285
4,8,pba,4,1.0,1.0,1.0,0.0,0.0,0.105,0.0,0.0985,0.0,0.09,0.0,0.092,0.0,0.108
4,8,pba,5,1.0,1.0,1.0,0.0,0.0,0.427,0.0,0.444,0.0,0.4365,0.0,0.433,0.0,0.4085
4,8,pba,6,1.0,1.0,1.0,0.0,0.0,0.0955,0.0,0.098,0.0,0.0955,0.0,0.0855,0.0,0.088
4,8,pba,7,1.2465,2.0,2.0,0.0,0.0,0.0075,0.0,0.0125,0.0,0.005,0.0,0.0145,0.0,0.0125
