s,t,V_theoretical,mc_mean,mc_std,mc_p50,mc_p90,mc_p99,success_rate
0,1,inf,,,,,,0.0
0,2,inf,,,,,,0.0
0,3,inf,,,,,,0.0
0,4,inf,,,,,,0.0
0,5,inf,,,,,,0.0
0,6,inf,,,,,,0.0
0,7,inf,,,,,,0.0
0,8,inf,,,,,,0.0
0,9,inf,,,,,,0.0
0,10,inf,,,,,,0.0
0,11,inf,,,,,,0.0
0,12,inf,,,,,,0.0
0,13,inf,,,,,,0.0
0,14,inf,,,,,,0.0
0,15,inf,,,,,,0.0
0,16,inf,,,,,,0.0
0,17,inf,,,,,,0.0
0,18,inf,,,,,,0.0
0,19,inf,,,,,,0.0
0,20,inf,,,,,,0.0
0,21,inf,,,,,,0.0
0,22,inf,,,,,,0.0
0,23,inf,,,,,,0.0
0,24,inf,,,,,,0.0
0,25,inf,,,,,,0.0
0,26,inf,,,,,,0.0
0,27,inf,,,,,,0.0
0,28,inf,,,,,,0.0
0,29,inf,,,,,,0.0
0,30,inf,,,,,,0.0
0,31,inf,,,,,,0.0
0,32,inf,,,,,,0.0
0,33,inf,,,,,,0.0
0,34,inf,,,,,,0.0
0,35,inf,,,,,,0.0
0,36,inf,,,,,,0.0
0,37,inf,,,,,,0.0
0,38,inf,,,,,,0.0
0,39,inf,,,,,,0.0
0,40,inf,,,,,,0.0
0,41,inf,,,,,,0.0
0,42,inf,,,,,,0.0
0,43,inf,,,,,,0.0
0,44,inf,,,,,,0.0
0,45,inf,,,,,,0.0
0,46,inf,,,,,,0.0
0,47,inf,,,,,,0.0
0,48,inf,,,,,,0.0
0,49,inf,,,,,,0.0
0,50,inf,,,,,,0.0
0,51,inf,,,,,,0.0
0,52,inf,,,,,,0.0
0,53,inf,,,,,,0.0
0,54,inf,,,,,,0.0
0,55,inf,,,,,,0.0
0,56,inf,,,,,,0.0
0,57,inf,,,,,,0.0
0,58,inf,,,,,,0.0
0,59,inf,,,,,,0.0
0,60,inf,,,,,,0.0
0,61,inf,,,,,,0.0
0,62,inf,,,,,,0.0
0,63,inf,,,,,,0.0
0,64,inf,,,,,,0.0
1,0,12.807701110839844,12.6850004196167,19.183631896972656,3.0,38.0,89.01000213623047,1.0
1,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1,3,2.5,2.5190000534057617,1.6073702573776245,2.0,5.0,8.0,1.0
1,4,2.3333332538604736,2.377000093460083,1.5462441444396973,2.0,4.0,8.0,1.0
1,5,3.1508610248565674,2.9739999771118164,4.366614818572998,1.0,8.0,21.0,1.0
1,6,2.1356427669525146,2.190999984741211,2.683378219604492,1.0,5.0,13.0,1.0
1,7,3.1004414558410645,3.1059999465942383,2.905299186706543,2.0,7.0,14.0,1.0
1,8,3.9039249420166016,3.750999927520752,2.865833282470703,2.0,7.0,14.0,1.0
1,9,4.297671318054199,4.368000030517578,4.413907051086426,3.0,10.0,20.0,1.0
1,10,2.6896493434906006,2.7260000705718994,2.646681547164917,1.0,6.0,13.0,1.0
1,11,3.5615410804748535,3.437000036239624,3.138157367706299,2.0,7.0,18.0,1.0
1,12,4.079281806945801,4.013000011444092,2.503763437271118,3.0,7.0,13.0,1.0
1,13,5.264455795288086,5.309999942779541,3.682105302810669,4.0,10.0,19.0,1.0
1,14,3.69667911529541,3.677000045776367,2.6990129947662354,3.0,7.0,12.0,1.0
1,15,4.855435848236084,4.8460001945495605,3.0812795162200928,4.0,9.0,17.0,1.0
1,16,5.141102313995361,5.111000061035156,3.226868152618408,4.0,9.0,17.0,1.0
1,17,6.319020748138428,6.2729997634887695,4.40459680557251,5.0,13.0,21.0,1.0
1,18,5.293955326080322,5.446000099182129,4.027789115905762,4.0,11.0,20.0,1.0
1,19,7.133805751800537,7.13100004196167,5.075809001922607,6.0,13.0,25.010000228881836,1.0
1,20,5.236789226531982,5.520999908447266,3.859217405319214,4.0,10.100000381469727,19.0,1.0
1,21,6.968061447143555,7.013999938964844,4.770514011383057,6.0,13.0,24.0,1.0
1,22,5.530305862426758,5.7220001220703125,4.2048444747924805,5.0,11.0,20.010000228881836,1.0
1,23,4.687653541564941,4.534999847412109,3.460169792175293,3.0,9.0,18.0,1.0
1,24,4.556774139404297,4.547999858856201,3.362691640853882,3.0,9.0,17.0,1.0
1,25,6.12470006942749,6.043000221252441,4.554903984069824,5.0,12.0,23.0,1.0
1,26,4.436726093292236,4.464000225067139,2.707157850265503,4.0,8.0,14.0,1.0
1,27,5.627399921417236,5.6519999504089355,3.9998619556427,4.5,11.0,20.010000228881836,1.0
1,28,3.896043062210083,3.930999994277954,2.599661350250244,3.0,7.0,14.0,1.0
1,29,5.003994941711426,5.109000205993652,4.15103816986084,3.0,10.0,20.0,1.0
1,30,4.898463249206543,4.954999923706055,3.3300113677978516,4.0,10.0,16.0,1.0
1,31,3.773813247680664,3.742000102996826,2.386930227279663,3.0,7.0,13.0,1.0
1,32,4.975461006164551,5.090000152587891,3.7061972618103027,4.0,10.0,18.0,1.0
1,33,6.286849498748779,6.508999824523926,4.613016128540039,5.0,12.0,24.0,1.0
